NR_NG,NER_NG,SR_NG,ER_NG,WR_NG
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2232.709689,2232.709689,2232.709689,2232.709689,2232.709689
2241.275072,2241.275072,2241.275072,2241.275072,2241.275072
2241.275072,2241.275072,2241.275072,2241.275072,2241.275072
2241.275072,2241.275072,2241.275072,2241.275072,2241.275072
2241.275072,2241.275072,2241.275072,2241.275072,2241.275072
2241.275072,2241.275072,2241.275072,2241.275072,2241.275072
2241.275072,2241.275072,2241.275072,2241.275072,2241.275072
